describe,introduce,movie_name,no,numbers,star
那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,1988/意大利法国/剧情爱情,天堂电影院,31,398137人评价,9.2
对敌人的仁慈，就是对自己残忍。,2000/中国大陆/剧情历史战争,鬼子来了,32,336311人评价,9.2
史诗的终章。,2003/美国新西兰/剧情动作奇幻冒险,指环王3：王者无敌,33,403582人评价,9.1
1957年的理想主义。 ,1957/美国/剧情,十二怒汉,34,239470人评价,9.4
对天空的追逐，永不停止。 ,1986/日本/动画奇幻冒险,天空之城,35,472649人评价,9.1
你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,2016/印度/剧情传记运动家庭,摔跤吧！爸爸,36,769889人评价,9.0
最后那些最无聊的事情，才是最值得怀念的。 ,2009/美国/剧情喜剧动画冒险,飞屋环游记,37,720050人评价,8.9
旷古烁今。,1995/香港中国大陆/喜剧爱情奇幻古装,大话西游之月光宝盒,38,621473人评价,9.0
邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,1999/美国德国/剧情动作悬疑惊悚,搏击俱乐部,39,516445人评价,9.0
爱情哪怕只有一天。,1953/美国/喜剧剧情爱情,罗马假日,40,538607人评价,9.0
带着心爱的人在天空飞翔。,2004/日本/动画奇幻冒险,哈尔的移动城堡,41,522697人评价,9.0
史上最美的探戈。,1992/美国/剧情,闻香识女人,42,460379人评价,9.0
电影的现实意义大过电影本身。,2013/韩国/剧情,辩护人,43,318186人评价,9.2
别样人生。,2006/德国/剧情悬疑,窃听风暴,44,319720人评价,9.1
“不要跟我比惨，我比你更惨”再适合这部电影不过了。,1987/英国意大利中国大陆法国美国/剧情传记历史,末代皇帝,45,311818人评价,9.1
4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,1998/英国/剧情喜剧犯罪,两杆大烟枪,46,353475人评价,9.1
自由万岁。,1975/美国/剧情,飞越疯人院,47,356186人评价,9.1
当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,1989/美国/剧情,死亡诗社,48,390612人评价,9.0
受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,2013/韩国/剧情,素媛,49,288470人评价,9.2
死亡不是真的逝去，遗忘才是永恒的消亡。,2017/美国/喜剧动画奇幻音乐,寻梦环游记,50,734068人评价,9.0
承前启后的史诗篇章。,2002/美国新西兰/剧情动作奇幻冒险,指环王2：双塔奇兵,51,379107人评价,9.0
优雅的孤独。,1974/美国/剧情犯罪,教父2,52,270780人评价,9.2
一张面具背后的理想与革命。,2005/美国英国德国/剧情动作科幻惊悚,V字仇杀队,53,596450人评价,8.9
传说的开始。,2001/新西兰美国/剧情动作奇幻冒险,指环王1：魔戒再现,54,424840人评价,9.0
海豚的微笑，是世界上最高明的伪装。,2009/美国/纪录片,海豚湾,55,234884人评价,9.3
人生不能像做菜，把所有的料都准备好了才下锅。,1994/台湾美国/剧情家庭,饮食男女,56,291311人评价,9.1
动物版《哈姆雷特》。,1994/美国/剧情动画冒险歌舞家庭,狮子王,57,404316人评价,9.0
爱是一切逻辑和原由。,2001/美国/传记剧情,美丽心灵,58,414084人评价,8.9
暗恋的极致。,1995/日本/剧情爱情,情书,59,514750人评价,8.9
音乐能化解仇恨。,2002/法国德国英国波兰/剧情传记历史战争音乐,钢琴家,60,273083人评价,9.1
在时间之河里感受溺水之苦。,2008/美国/剧情爱情奇幻,本杰明·巴顿奇事,61,540240人评价,8.8
往事如烟，无处祭奠。,1984/意大利美国/犯罪剧情,美国往事,62,233965人评价,9.1
你以为你以为的就是你以为的。,2016/西班牙/剧情犯罪悬疑惊悚,看不见的客人,63,575642人评价,8.8
视觉革命。,1999/美国澳大利亚/动作科幻,黑客帝国,64,404115人评价,8.9
奔跑的孩子是天使。,1997/伊朗/剧情儿童家庭,小鞋子,65,200572人评价,9.2
美丽无罪。,2000/意大利美国/剧情战争情色,西西里的美丽传说,66,511579人评价,8.8
经典之作，历久弥新。,1961(中国大陆)/1964(中国大陆)/1978(中国大陆)/2004(中国大陆)/中国大陆/动画奇幻,大闹天宫,67,167457人评价,9.3
童话世界的开端。,2001/美国英国/奇幻冒险,哈利·波特与魔法石,68,423998人评价,8.9
你给我翻译翻译，神马叫做TMD的惊喜。,2010/中国大陆香港/剧情喜剧动作西部,让子弹飞,69,880696人评价,8.7
美利坚精神输出大片No1.,1998/美国/剧情历史战争,拯救大兵瑞恩,70,344484人评价,8.9
孪生蝙蝠侠大战克隆金刚狼。,2006/美国英国/剧情悬疑惊悚,致命魔术,71,469038人评价,8.8
警察抓小偷，老鼠玩死猫。,1995/美国/剧情犯罪悬疑惊悚,七宗罪,72,562872人评价,8.8
以戏谑来戏谑戏谑。,2006/日本/剧情歌舞,被嫌弃的松子的一生,73,416270人评价,8.9
用音乐化解仇恨，让歌声串起美好。,1965/美国/剧情传记爱情歌舞,音乐之声,74,316849人评价,9.0
故事的高级讲法。,1994/美国/剧情喜剧犯罪,低俗小说,75,462834人评价,8.8
安东尼·霍普金斯的顶级表演。,1991/美国/剧情犯罪惊悚,沉默的羔羊,76,468632人评价,8.8
法式小清新。 ,2001/法国德国/喜剧爱情,天使爱美丽,77,625534人评价,8.7
骗子大师和执著警探的你追我跑故事。 ,2002/美国加拿大/传记犯罪剧情,猫鼠游戏,78,361864人评价,8.9
史诗大片的典范。,1995/美国/动作传记剧情历史战争,勇敢的心,79,371259人评价,8.9
人的命运被自己瞬间的抉择改变。,2004/美国加拿大/剧情悬疑科幻惊悚,蝴蝶效应,80,515843人评价,8.7
浪漫忧郁的成人童话。,1990/美国/剧情奇幻爱情,剪刀手爱德华,81,640270人评价,8.7
爱情纠缠，男女一致。,1997/香港日本韩国/剧情爱情同性,春光乍泄,82,343512人评价,8.9
人生中应该拥有这样的一段豁然开朗。,1997/美国/剧情,心灵捕手,83,376347人评价,8.8
昔日翩翩少年，今日大腹便便。,2010/美国/剧情悬疑惊悚,禁闭岛,84,501904人评价,8.7
小清新的故事里注入了大历史的情怀。,2014/美国德国英国/剧情喜剧冒险,布达佩斯大饭店,85,464647人评价,8.8
尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,2008/英国美国/剧情战争,穿条纹睡衣的男孩,86,230551人评价,9.0
死可能是一道门，逝去并不是终结，而是超越，走向下一程。,2008/日本/剧情,入殓师,87,387288人评价,8.8
绝对意义上的美轮美奂。,2009/美国英国/动作战争科幻冒险,阿凡达,88,736253人评价,8.7
人与自然的战争史诗。,1997/日本/动画奇幻冒险,幽灵公主,89,315339人评价,8.8
一场华丽的意淫。,1994/中国大陆香港/剧情爱情,阳光灿烂的日子,90,360738人评价,8.8
最不可能的那个人永远是最可能的。,2003/美国/剧情悬疑惊悚,致命ID,91,429723人评价,8.7
深入内心的恐怖，出人意料的结局。,1999/美国/剧情悬疑惊悚,第六感,92,309087人评价,8.8
约翰尼·德普的独角戏。,2003/美国/动作冒险奇幻,加勒比海盗,93,484392人评价,8.7
人言可畏。,2012/丹麦瑞典/剧情,狩猎,94,185379人评价,9.1
每个人心中都有一座断背山。,2005/美国加拿大/剧情爱情同性家庭,断背山,95,424526人评价,8.7
你是我最好的朋友，你是我唯一的朋友 。,2009/澳大利亚/剧情喜剧动画,玛丽和马克思,96,279088人评价,8.9
寂寞没有期限。,1994/香港/剧情爱情,重庆森林,97,442280人评价,8.7
大时代中的人生，小人物的悲喜。,1936/美国/剧情喜剧爱情,摩登时代,98,135490人评价,9.2
我是一个演员。,1999/香港/喜剧剧情爱情,喜剧之王,99,472355人评价,8.7
没有一人完全善，也没有一人完全恶。,2010/日本/剧情惊悚,告白,100,443967人评价,8.7
抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,2003/美国/剧情家庭奇幻冒险,大鱼,101,328886人评价,8.8
年度最佳date movie。,2014/美国/剧情犯罪悬疑惊悚,消失的爱人,102,492623人评价,8.7
我们都曾经是一一。,2000/台湾日本/剧情爱情家庭,一一,103,200088人评价,9.0
百看不厌。 ,1993/香港/喜剧奇幻武侠古装,射雕英雄传之东成西就,104,363075人评价,8.7
再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,2011/韩国/剧情喜剧,阳光姐妹淘,105,355624人评价,8.8
相逢只要一瞬间，等待却像是一辈子。,1996/香港/剧情爱情,甜蜜蜜,106,292709人评价,8.8
缘分是个连绵词，最美不过一瞬。,1995/美国奥地利瑞士/剧情爱情,爱在黎明破晓前,107,303248人评价,8.8
那些静得只能听见呼吸的日子里，你明白孤独即生活。,2014/日本/剧情,小森林 夏秋篇,108,205197人评价,9.0
和谐的生活离不开摸头与被摸头。,2010/美国/动画奇幻冒险,驯龙高手,109,406833人评价,8.7
少女情怀总是诗。,1995/日本/剧情爱情动画,侧耳倾听,110,235649人评价,8.8
沉醉在电影的情感和视听氛围中无法自拔。,2017/意大利法国巴西美国荷兰德国/剧情爱情同性,请以你的名字呼唤我,111,294204人评价,8.8
梦的勾结。,2006/日本/动画悬疑科幻惊悚,红辣椒,112,193741人评价,8.9
两张绝世的脸。 ,1987/香港/爱情奇幻武侠古装,倩女幽魂,113,370562人评价,8.7
恐怖分子的“秋菊打官司”。,2013/韩国/剧情犯罪悬疑,恐怖直播,114,325236人评价,8.7
动画片的圣经。,1984/日本/动画奇幻冒险,风之谷,115,232270人评价,8.8
穷尽一生，我们要学会的，不过是彼此拥抱。,2011/美国/剧情,超脱,116,238849人评价,8.8
被上帝抛弃了的上帝之城。,2002/巴西法国/犯罪剧情,上帝之城,117,192012人评价,8.9
九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,2004/美国/剧情爱情,爱在日落黄昏时,118,265287人评价,8.8
从没见过那么流氓的温柔，从没见过那么温柔的流氓。,1999/日本/剧情喜剧,菊次郎的夏天,119,259012人评价,8.8
有时候幸福需要等一等。 ,2004/美国/喜剧剧情爱情,幸福终点站,120,292798人评价,8.7
10年的完美句点。,2011/美国英国/剧情悬疑奇幻冒险,哈利·波特与死亡圣器(下),121,381235人评价,8.7
尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,2015/日本/剧情,小森林 冬春篇,122,179119人评价,9.0
关于连环杀人悬案的集体回忆。,2003/韩国/犯罪剧情悬疑惊悚,杀人回忆,123,283764人评价,8.7
《我是山姆》的《美丽人生》。,2013/韩国/剧情喜剧家庭,7号房的礼物,124,252491人评价,8.8
Mr. I Don't Care其实也有Care的时候。,2010/美国法国/喜剧动画冒险,神偷奶爸,125,533041人评价,8.5
曾经的那段美好会沉淀为一辈子的记忆。,2010/日本/动画奇幻冒险,借东西的小人阿莉埃蒂,126,287192人评价,8.7
触不到的恋人。,2011/日本/剧情爱情动画奇幻,萤火之森,127,236029人评价,8.8
华太师是黄霑，吴镇宇四大才子之一。,1993/香港/喜剧爱情古装,唐伯虎点秋香,128,499516人评价,8.5
诺兰就是保证。,2012/美国英国/剧情动作科幻犯罪惊悚,蝙蝠侠：黑暗骑士崛起,129,388705人评价,8.7
Balalala~~~,2014/美国/喜剧动作科幻动画冒险,超能陆战队,130,522404人评价,8.6
不要给它起名字，起了名字就有感情了。,2001/美国/儿童喜剧动画奇幻冒险,怪兽电力公司,131,338499人评价,8.6
岁月流逝，来日可追。,2010/香港中国大陆/剧情家庭,岁月神偷,132,377862人评价,8.7
真相就在眼前。,2004/美国/悬疑惊悚恐怖,电锯惊魂,133,267028人评价,8.7
时代悲歌。,1954/日本/动作冒险剧情,七武士,134,103101人评价,9.2
像吃了苏打饼一样干脆的电影。,2007/美国德国/动作悬疑惊悚,谍影重重3,135,239958人评价,8.7
爱，是个动词。,2003/英国美国法国/喜剧剧情爱情,真爱至上,136,411619人评价,8.6
我的平常生活就是他人的幸福。,2004/日本/剧情,无人知晓,137,116708人评价,9.1
老少皆宜，这就是好莱坞动画的魅力。,2013/美国/喜剧动画冒险,疯狂原始人,138,488319人评价,8.7
中国家庭的喜怒哀乐忍。,1993/台湾美国/剧情喜剧爱情同性家庭,喜宴,139,184322人评价,8.9
英雄泪短，兄弟情长。 ,1986/香港/剧情动作犯罪,英雄本色,140,253891人评价,8.6
幸福是生生不息，却难以触及的远。 ,1988/日本/动画剧情战争,萤火虫之墓,141,257706人评价,8.7
电影诗。,1994/香港台湾/剧情动作爱情武侠古装,东邪西毒,142,340755人评价,8.6
上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,2008/英国美国/剧情爱情,贫民窟的百万富翁,143,478672人评价,8.5
黑暗之美。,2010/美国/剧情惊悚,黑天鹅,144,524767人评价,8.5
一个针管引发的血案。,2000/美国/犯罪剧情悬疑惊悚,记忆碎片,145,355920人评价,8.6
优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,2016/美国澳大利亚/剧情传记历史战争,血战钢锯岭,146,441602人评价,8.7
爱是摈弃傲慢与偏见之后的曙光。,2005/法国英国美国/剧情爱情,傲慢与偏见,147,402432人评价,8.5
荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,2014/中国大陆/剧情犯罪悬疑,心迷宫,148,256844人评价,8.7
把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,2013/英国/喜剧爱情奇幻,时空恋旅人,149,281447人评价,8.7
始于荒诞，止于更荒诞。,2014/阿根廷西班牙/剧情喜剧犯罪,荒蛮故事,150,206368人评价,8.8
香港浪漫主义警匪动作片的巅峰之作。,1991/香港/剧情喜剧动作犯罪,纵横四海,151,209789人评价,8.7
生活在自己的世界里，也可以让周围的人显得可笑和渺小。,1988/美国/剧情,雨人,152,255709人评价,8.7
任何信念的力量，都无法改变命运。,1990/美国/剧情犯罪,教父3,153,178478人评价,8.8
Jared Leto的腿比女人还美！,2013/美国/剧情传记同性,达拉斯买家俱乐部,154,249800人评价,8.7
跨度十五年的欢乐与泪水。,2010/美国/喜剧动画奇幻冒险,玩具总动员3,155,251114人评价,8.8
坏人的好总是比好人的好来得更感人。,1993/美国/剧情犯罪,完美的世界,156,112523人评价,9.1
当这个世界闭上双眼，他却敞开了怀抱。,2004/英国南非意大利美国/剧情历史战争,卢旺达饭店,157,153720人评价,8.9
偷情本没有这样美。,2000/香港/剧情爱情,花样年华,158,318417人评价,8.6
我们都有权利不与自己的过去和解。,2016/美国/剧情家庭,海边的曼彻斯特,159,277801人评价,8.6
大海啊，不全是水。,2009/法国瑞士西班牙美国阿联酋/纪录片,海洋,160,113169人评价,9.0
爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,2004/美国/剧情爱情,恋恋笔记本,161,365008人评价,8.5
永远看不腻的喜剧。,1966/法国英国/喜剧战争,虎口脱险,162,133342人评价,8.9
感情不分食草或者食肉。,2010/日本/剧情动画儿童,你看起来好像很好吃,163,190745人评价,8.8
热血沸腾，那个低俗、性感的无耻混蛋又来了。,2012/美国/剧情动作西部冒险,被解救的姜戈,164,334954人评价,8.6
有一些东西不应该被遗忘。,2015/中国大陆/纪录片,二十二,165,155315人评价,8.7
愿我们都不用长大，每一座城堡都能永远存在。,2015/美国/喜剧动画冒险,头脑特工队,166,316951人评价,8.7
,2017/美国英国/剧情犯罪,三块广告牌,167,453183人评价,8.7
迪士尼和皮克斯拿错剧本的产物。,2012/美国/喜剧动画奇幻冒险,无敌破坏王,168,284835人评价,8.7
骨灰级歌舞片。,1952/美国/喜剧歌舞爱情,雨中曲,169,118325人评价,9.0
松鼠才是角儿。,2002/美国/喜剧动画冒险,冰川时代,170,356788人评价,8.5
穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,2016/日本/剧情爱情动画,你的名字。,171,691952人评价,8.4
传奇，不是每个人都可以拥有。,1994/美国/剧情爱情战争西部,燃情岁月,172,177167人评价,8.8
爱并不需要智商 。,2001/美国/剧情家庭,我是山姆,173,141170人评价,8.9
这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,2014/美国/剧情音乐,爆裂鼓手,174,306996人评价,8.6
对爱的执着，可以超越一切。,2001/美国/冒险剧情科幻,人工智能,175,245763人评价,8.6
好的剧本是，就算你猜到了结局也猜不到全部。,1997/日本/动画奇幻惊悚,未麻的部屋,176,135716人评价,8.9
爱上未来的你。 ,2006/日本/剧情爱情科幻动画,穿越时空的少女,177,234721人评价,8.6
中国式内在的美国电影。,1940/美国/剧情爱情战争,魂断蓝桥,178,157688人评价,8.8
惠及一生的美丽。,2015/瑞典/剧情,一个叫欧维的男人决定去死,179,179895人评价,8.8
他给机器起名“克里斯托弗”，因为这是他初恋的名字。,2014/英国美国/剧情传记战争同性,模仿游戏,180,334479人评价,8.6
不可猜的青春迷笛。 ,1996/英国/剧情犯罪,猜火车,181,296238人评价,8.5
被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,2015/爱尔兰加拿大英国美国/剧情家庭,房间,182,214099人评价,8.8
养狗三日，便会对你终其一生。,1987/日本/剧情,忠犬八公物语,183,88358人评价,9.1
不要企图在重复中寻找已经失去的爱。,2009/英国澳大利亚/剧情悬疑惊悚,恐怖游轮,184,431475人评价,8.4
人生的N种可能性。,1950/日本/犯罪剧情悬疑,罗生门,185,165592人评价,8.7
来啊，互相伤害啊！,2016/意大利/剧情喜剧,完美陌生人,186,313242人评价,8.5
宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,1989/日本/动画奇幻冒险,魔女宅急便,187,260488人评价,8.6
王家卫是一种风格，张国荣是一个代表。,1990/香港/犯罪剧情爱情,阿飞正传,188,278296人评价,8.5
一个单凭体香达到高潮的男人。,2006/德国法国西班牙美国/剧情犯罪奇幻,香水,189,345428人评价,8.5
想你时你在闹海。,1979/中国大陆/冒险动画奇幻,哪吒闹海,190,112912人评价,8.9
世界离独裁只有五天。,2008/德国/剧情惊悚,浪潮,191,165694人评价,8.7
不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,2003/美国澳大利亚/动作科幻,黑客帝国3：矩阵革命,192,209480人评价,8.6
是枝裕和的家庭习作。,2015/日本/剧情家庭,海街日记,193,195267人评价,8.7
当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,2008/美国德国/剧情爱情,朗读者,194,323479人评价,8.5
坚硬的信仰。,2004/中国大陆香港/剧情犯罪,可可西里,195,162658人评价,8.7
谁说王家卫镜头很晃？,2004/美国德国/动作悬疑惊悚,谍影重重2,196,207066人评价,8.6
哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,2002/美国德国捷克/动作悬疑惊悚,谍影重重,197,246973人评价,8.5
做一颗让别人需要你的棋子。,2005/美国法国/剧情犯罪,战争之王,198,214309人评价,8.6
弱者送给弱者的一刀。,1991/台湾/剧情犯罪,牯岭街少年杀人事件,199,139845人评价,8.8
天使保护事件始末。,2007/印度/剧情儿童家庭,地球上的星星,200,112433人评价,8.9
故事的反转与反转，分裂电影的始祖。,1960/美国/悬疑惊悚恐怖,惊魂记,201,112348人评价,8.9
人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,1993/香港/剧情爱情奇幻古装,青蛇,202,287399人评价,8.5
中国版《两杆大烟枪》。,2006/中国大陆香港/喜剧犯罪,疯狂的石头,203,424777人评价,8.4
只有有信仰的人才能说出事实真相。,2011/伊朗法国/剧情家庭,一次别离,204,161530人评价,8.7
诺兰的牛逼来源于内心散发出的恐惧。,1998/英国/犯罪悬疑惊悚,追随,205,103000人评价,8.9
传奇的年代，醉人的童话。,1983(中国大陆)/2019(中国大陆重映)/中国大陆/动画奇幻,天书奇谭,206,77123人评价,9.1
少见的超越首部的续集，动作片中的经典。,1991/美国法国/动作科幻,终结者2：审判日,207,187003人评价,8.6
邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,2011/美国加拿大/科幻悬疑惊悚,源代码,208,500539人评价,8.4
黑小鸭速效美白记。,2010/泰国/剧情喜剧爱情,初恋这件小事,209,595560人评价,8.3
日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,2008/日本/剧情家庭,步履不停,210,126722人评价,8.8
宝莱坞的萝莉与大叔。,2015/印度/剧情喜剧动作,小萝莉的猴神大叔,211,246779人评价,8.5
嬉笑怒骂，调风动月。,1992/香港中国大陆/动作爱情武侠古装,新龙门客栈,212,242119人评价,8.5
爱我就给我看你的播放列表。,2013/美国/喜剧爱情音乐,再次出发之纽约遇见你,213,230080人评价,8.5
天使与魔鬼的冲撞。,2004/美国德国/犯罪剧情,撞车,214,211010人评价,8.6
所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,2013/美国希腊/剧情爱情,爱在午夜降临前,215,155284人评价,8.8
一场没有春天的噩梦。,2000/美国/剧情,梦之安魂曲,216,138254人评价,8.7
,2015/德国瑞士南非/剧情冒险家庭,海蒂和爷爷,217,83509人评价,8.9
昆汀同学越来越变态了，比北野武还杜琪峰。,2009/美国德国/剧情犯罪,无耻混蛋,218,277675人评价,8.5
东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,1953/日本/剧情家庭,东京物语,219,67565人评价,9.2
永远的小人物，伟大的卓别林。,1931/美国/喜剧剧情爱情,城市之光,220,60695人评价,9.3
天使暂时离开。,1999/美国/犯罪剧情奇幻悬疑,绿里奇迹,221,136583人评价,8.7
小成本大魅力。,2013/美国英国/科幻悬疑惊悚,彗星来的那一夜,222,255407人评价,8.5
每个美丽事物背后都是滴血的现实。,2006/美国德国/剧情惊悚冒险,血钻,223,180427人评价,8.6
现代科幻电影的开山之作，最伟大导演的最伟大影片。,1968/英国美国/科幻惊悚冒险,2001太空漫游,224,137277人评价,8.7
科幻真正的魅力不是视觉效果能取代的。 ,2007/美国/剧情科幻,这个男人来自地球,225,234065人评价,8.5
生病的E.T.皮肤的颜色就像柿子饼。,1982/美国/剧情科幻,E.T. 外星人,226,200416人评价,8.5
没有了退路，只好飞向自由。,1991/美国法国/犯罪剧情惊悚,末路狂花,227,131035人评价,8.7
新闻人的理性求真。,2015/美国/剧情传记,聚焦,228,163734人评价,8.8
警恶惩奸，维护世界和平这个任务就交给你了，好吗？,2004/中国大陆香港/动作喜剧犯罪奇幻,功夫,229,414437人评价,8.3
类型片的极致。 ,1996/美国/动作冒险,勇闯夺命岛,230,174050人评价,8.6
当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,1997/美国/动作科幻犯罪惊悚,变脸,231,261247人评价,8.4
我完全康复了。,1971/英国美国/犯罪剧情科幻,发条橙,232,227247人评价,8.5
最棒的西部片。,1966/意大利西班牙西德/冒险西部,黄金三镖客,233,67098人评价,9.1
还原真实而残酷的战争。,2001/美国/动作历史战争,黑鹰坠落,234,157908人评价,8.6
青春就是放弃和怀念。,2007/日本/动画剧情爱情,秒速5厘米,235,388545人评价,8.3
我不信仰上帝，但我敬畏上帝。,1995/德国美国/剧情犯罪悬疑惊悚,非常嫌疑犯,236,153267人评价,8.6
你要相信，这世上真的有爱存在，不管在什么年纪 ,2011/韩国/剧情爱情,我爱你,237,78935人评价,9.0
世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。,1942/美国/剧情爱情战争,卡萨布兰卡,238,153060人评价,8.6
皇上无话儿。,2010/英国澳大利亚美国/剧情传记历史,国王的演讲,239,417325人评价,8.4
一部能引人思考的科幻励志片。,1997/美国/剧情科幻惊悚,千钧一发,240,120845人评价,8.7
世界不完美，爱会有奇迹。,2017/美国香港/剧情儿童家庭,奇迹男孩,241,290438人评价,8.6
“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,2015/澳大利亚美国/动作科幻冒险,疯狂的麦克斯4：狂暴之路,242,272962人评价,8.6
用剩余不多的时间，去燃烧整个生命。,2007/美国/冒险喜剧剧情,遗愿清单,243,175326人评价,8.6
每个人的内心都是深不可测的大海。 ,1999/美国/剧情爱情家庭,美国丽人,244,227394人评价,8.5
过去的如果就让它过去了，未来只会越来越糟！,2016/中国大陆/剧情喜剧,驴得水,245,464373人评价,8.3
一个人的独角戏。,2000/美国/冒险剧情,荒岛余生,246,174570人评价,8.5
在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,1988/法国美国意大利/剧情爱情,碧海蓝天,247,120329人评价,8.7
一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,1999/香港/剧情动作犯罪,枪火,248,127066人评价,8.7
